solution,factor_1,factor_2,correlation,absolute_correlation
three_factor,MR1,MR2,0.6927396977315189,0.6927396977315189
three_factor,MR1,MR3,0.807069883727247,0.807069883727247
three_factor,MR2,MR3,0.7226724339584042,0.7226724339584042
two_factor,MR1,MR2,0.7798454796692668,0.7798454796692668
