factor,item,standardized_loading,standard_error,ci_lower,ci_upper,p_value,confidence_interval_type,confidence_level
Depression,DPQ010,0.7569987188691899,0.012194177672823119,0.7330985698093742,0.7808988679290056,0,95% Wald-type,0.95
Depression,DPQ020,0.8731962391705638,0.008172688714757842,0.8571780636327815,0.8892144147083461,0,95% Wald-type,0.95
Depression,DPQ030,0.7183311927789686,0.011950998472946858,0.6949076661926996,0.7417547193652376,0,95% Wald-type,0.95
Depression,DPQ040,0.7664084894476567,0.010318419525940542,0.7461847587994384,0.7866322200958751,0,95% Wald-type,0.95
Depression,DPQ050,0.7073854825206191,0.01358997541800436,0.6807496201505459,0.7340213448906923,0,95% Wald-type,0.95
Depression,DPQ060,0.8317141646552699,0.010721054676266379,0.8107012836135031,0.8527270456970367,0,95% Wald-type,0.95
Depression,DPQ070,0.7319969325983475,0.01448760135686839,0.7036017557165118,0.7603921094801832,0,95% Wald-type,0.95
Depression,DPQ080,0.7185010783379295,0.017750943574910052,0.6837098682395032,0.7532922884363559,0,95% Wald-type,0.95
Depression,DPQ090,0.7586175344145922,0.02170697939444748,0.7160726365883221,0.8011624322408624,0,95% Wald-type,0.95
